Algos,data_size,ETA,Acc,Precision,Recall,F1,MSE,AUC,Iteration
LogReg,"(218886, 46)",21.634912,0.518393,0.506914,0.854828,0.636427,0.481607,0.522969,RF 46
LinSVC,"(140001, 25)",58.752508,0.523861,0.523807,0.992712,0.685768,0.476139,0.500874,PCA 27
XTrees,"(63033, 2)",0.250668,0.506211,0.498152,0.757585,0.601069,0.493789,0.510642,"LLE 2c, 10k, 18s"
LinSVC,"(218886, 27)",157.288565,0.507127,0.500161,0.733976,0.594920,0.492873,0.510212,PCA 27
XTrees,"(218886, 46)",11.650906,0.510362,0.503999,0.443132,0.471610,0.489638,0.509447,RF 46
RandFor,"(218886, 27)",31.687832,0.510074,0.503715,0.437184,0.468097,0.489926,0.509082,PCA 27
LinSVC,"(218886, 12)",115.307402,0.505427,0.499017,0.754656,0.600772,0.494573,0.508817,PCA 12
LogReg,"(218886, 46)",2.865549,0.505359,0.498930,0.725666,0.591307,0.494641,0.508355,PCA 46
SGD,"(218886, 12)",0.379474,0.504495,0.498417,0.765579,0.603764,0.495505,0.508046,PCA 12
DecTree,"(218886, 12)",1.378236,0.504495,0.498417,0.765579,0.603764,0.495505,0.508046,PCA 12
SGD,"(218886, 27)",0.442005,0.504495,0.498417,0.765579,0.603764,0.495505,0.508046,PCA 27
DecTree,"(218886, 27)",2.725567,0.504495,0.498417,0.765579,0.603764,0.495505,0.508046,PCA 27
SGD,"(218886, 46)",0.527735,0.504495,0.498417,0.765579,0.603764,0.495505,0.508046,PCA 46
DecTree,"(218886, 46)",4.141804,0.504495,0.498417,0.765579,0.603764,0.495505,0.508046,PCA 46
LogReg,"(218886, 12)",1.475351,0.504276,0.498260,0.759937,0.601887,0.495724,0.507753,PCA 12
LogReg,"(218886, 27)",3.619042,0.504742,0.498496,0.723248,0.590199,0.495258,0.507714,PCA 27
RandFor,"(218886, 46)",31.498969,0.508100,0.501432,0.428206,0.461935,0.491900,0.507014,PCA 46
XTrees,"(218886, 27)",12.492907,0.506949,0.500065,0.426928,0.460611,0.493051,0.505860,PCA 27
RandFor,"(63033, 2)",1.331326,0.497406,0.493992,0.968305,0.654224,0.502594,0.505707,"LLE 2c, 10k, 18s"
RandFor,"(218886, 46)",20.473753,0.506346,0.499376,0.445078,0.470666,0.493654,0.505512,RF 46
DecTree,"(63033, 2)",0.044469,0.505164,0.496228,0.510032,0.503035,0.494836,0.505250,"t-SNE 2c, 1389s"
SGD,"(63033, 2)",0.033886,0.505164,0.496228,0.510032,0.503035,0.494836,0.505250,"t-SNE 2c, 1389s"
DecTree,"(140001, 25)",0.509635,0.523389,0.523379,1.000000,0.687129,0.476611,0.500022,PCA 27
SGD,"(140001, 25)",0.247836,0.523389,0.523379,1.000000,0.687129,0.476611,0.500022,PCA 27
XTrees,"(218886, 46)",16.148261,0.505099,0.497880,0.427567,0.460052,0.494901,0.504044,PCA 46
LogReg,"(140001, 2)",0.156722,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 2c, 10k, 77s"
KNN,"(218886, 46)",22.352154,0.503084,0.496449,0.540136,0.517372,0.496916,0.503588,RF 46
DecTree,"(140001, 2)",0.084597,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 2c, 10k, 77s"
XTrees,"(218886, 8)",2.721841,0.501302,0.495288,0.596003,0.540998,0.498698,0.502590,"LLE 8c, 10k, 138s"
SGD,"(140001, 2)",0.081371,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 2c, 10k, 77s"
RandFor,"(218886, 8)",17.780608,0.496066,0.494277,0.948246,0.649829,0.503934,0.502216,"LLE 8c, 10k, 138s"
LogReg,"(140001, 2)",0.130838,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"t-SNE 2c, 4291s"
DecTree,"(218886, 46)",2.371082,0.501192,0.494779,0.547918,0.519995,0.498808,0.501828,RF 46
SGD,"(218886, 46)",0.615073,0.501192,0.494779,0.547918,0.519995,0.498808,0.501828,RF 46
LogReg,"(140001, 8)",0.474327,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 8c, 10k, 71s"
SGD,"(140001, 8)",0.225394,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 8c, 10k, 71s"
DecTree,"(140001, 8)",0.284164,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 8c, 10k, 71s"
LinSVC,"(140001, 8)",11.035709,0.523368,0.523368,1.000000,0.687119,0.476632,0.500000,"LLE 8c, 10k, 71s"
RandFor,"(140001, 2)",2.928734,0.515911,0.521980,0.891132,0.658339,0.484089,0.497515,"LLE 2c, 10k, 77s"
KNN,"(218886, 8)",0.468532,0.500151,0.493800,0.544611,0.517962,0.499849,0.500755,"LLE 8c, 10k, 138s"
LinSVC,"(140001, 46)",86.190758,0.514903,0.525890,0.742671,0.615758,0.485097,0.503737,RF 46
LogReg,"(140001, 25)",3.678299,0.514882,0.521795,0.874836,0.653695,0.485118,0.497235,PCA 27
LogReg,"(140001, 46)",12.942729,0.510296,0.534562,0.497421,0.515323,0.489704,0.510928,RF 46
XTrees,"(218886, 12)",6.140370,0.501234,0.493560,0.439908,0.465192,0.498766,0.500399,PCA 12
LinSVC,"(218886, 46)",147.047572,0.493298,0.493198,0.999666,0.660520,0.506702,0.500185,RF 46
XTrees,"(140001, 2)",0.644078,0.508239,0.520463,0.768015,0.620458,0.491761,0.495503,"LLE 2c, 10k, 77s"
LinSVC,"(140001, 12)",51.660913,0.507554,0.521264,0.724165,0.606186,0.492446,0.496934,"PCA 12, 1.5"
RandFor,"(140001, 8)",6.937630,0.507339,0.522596,0.678472,0.590419,0.492661,0.498949,"LLE 8c, 10k, 71s"
SGD,"(140001, 46)",0.368838,0.505239,0.522482,0.635154,0.573335,0.494761,0.498870,RF 46
DecTree,"(140001, 46)",1.456161,0.505239,0.522482,0.635154,0.573335,0.494761,0.498870,RF 46
DecTree,"(140001, 12)",0.653927,0.504168,0.519315,0.707296,0.598901,0.495832,0.494209,"PCA 12, 1.5"
SGD,"(140001, 12)",0.185012,0.504168,0.519315,0.707296,0.598901,0.495832,0.494209,"PCA 12, 1.5"
SGD,"(140001, 46)",0.326758,0.504168,0.519315,0.707296,0.598901,0.495832,0.494209,PCA 46
DecTree,"(140001, 46)",2.499238,0.504168,0.519315,0.707296,0.598901,0.495832,0.494209,PCA 46
LogReg,"(140001, 46)",1.875066,0.502968,0.518769,0.695423,0.594245,0.497032,0.493532,PCA 46
LogReg,"(140001, 12)",0.928008,0.502775,0.518645,0.694726,0.593910,0.497225,0.493364,"PCA 12, 1.5"
LogReg,"(218886, 8)",0.451157,0.493106,0.493106,1.000000,0.660510,0.506894,0.500000,"LLE 8c, 10k, 138s"
SGD,"(218886, 8)",0.265652,0.493106,0.493106,1.000000,0.660510,0.506894,0.500000,"LLE 8c, 10k, 138s"
DecTree,"(218886, 8)",0.491452,0.493106,0.493106,1.000000,0.660510,0.506894,0.500000,"LLE 8c, 10k, 138s"
LinSVC,"(218886, 8)",29.905502,0.493106,0.493106,1.000000,0.660510,0.506894,0.500000,"LLE 8c, 10k, 138s"
LinSVC,"(63033, 2)",0.380992,0.491029,0.491029,1.000000,0.658644,0.508971,0.500000,"LLE 2c, 10k, 18s"
